		Freq	Align-R-WdFt	Align-L-Wd-Ft	All-Ft-R	All-Ft-L	FtBin	Trochee	Iamb	ParseSyll	NonFin-Ft	NonFin-Syll	NonInit-Ft	*S1
		Freq	Align-R-WdFt	Align-L-Wd-Ft	All-Ft-R	All-Ft-L	FtBin	Trochee	Iamb	ParseSyll	NonFin-Ft	NonFin-Syll	NonInit-Ft	*S1
	[s s1 s] \-> s (s1) s	0	1	1	1	1	1	0	0	2	0	0	0	0
	[s s1 s] \-> s (s1 s)	0	0	1	0	1	0	0	1	1	1	0	0	0
	[s s1 s] \-> (s s1) s	0	1	0	1	0	0	1	0	1	0	0	1	0
	[s s s1] \-> s s (s1)	0	0	1	0	2	1	0	0	2	1	1	0	0
	[s s s1] \-> s (s s1)	0	0	1	0	1	0	1	0	1	1	1	0	0
/S S S S/	[S1 S S S] \-> (S1) S S S	1	1	0	3	0	1	0	0	3	0	0	1	1
	[S1 S S S] \-> (S1 S) S S	0	1	0	2	0	0	0	1	2	0	0	1	1
	[S S1 S S] \-> S (S1) S S	0	1	1	2	1	1	0	0	3	0	0	0	1
	[S S1 S S] \-> S (S1 S) S	0	1	1	1	1	0	0	1	2	0	0	0	1
	[S S1 S S] \-> (S S1) S S	0	1	0	2	0	0	1	0	2	0	0	1	1
	[S S S1 S] \-> S S (S1) S	0	1	1	1	2	1	0	0	3	0	0	0	1
	[S S S1 S] \-> S S (S1 S)	0	0	1	0	2	0	0	1	2	1	0	0	1
	[S S S1 S] \-> S (S S1) S	0	1	1	1	1	0	1	0	2	0	0	0	1
	[S S S S1] \-> S S S (S1)	0	0	1	0	3	1	0	0	3	1	1	0	1
	[S S S S1] \-> S S (S S1)	0	0	1	0	2	0	1	0	2	1	1	0	1
/S S S s/	[S1 S S s] \-> (S1) S S s	1	1	0	3	0	1	0	0	3	0	0	1	1
	[S1 S S s] \-> (S1 S) S s	0	1	0	2	0	0	0	1	2	0	0	1	1
	[S S1 S s] \-> S (S1) S s	0	1	1	2	1	1	0	0	3	0	0	0	1
	[S S1 S s] \-> S (S1 S) s	0	1	1	1	1	0	0	1	2	0	0	0	1
	[S S1 S s] \-> (S S1) S s	0	1	0	2	0	0	1	0	2	0	0	1	1
	[S S S1 s] \-> S S (S1) s	0	1	1	1	2	1	0	0	3	0	0	0	1
	[S S S1 s] \-> S S (S1 s)	0	0	1	0	2	0	0	1	2	1	0	0	1
	[S S S1 s] \-> S (S S1) s	0	1	1	1	1	0	1	0	2	0	0	0	1
	[S S S s1] \-> S S S (s1)	0	0	1	0	3	1	0	0	3	1	1	0	0
	[S S S s1] \-> S S (S s1)	0	0	1	0	2	0	1	0	2	1	1	0	0
/S S s S/	[S1 S s S] \-> (S1) S s S	1	1	0	3	0	1	0	0	3	0	0	1	1
	[S1 S s S] \-> (S1 S) s S	0	1	0	2	0	0	0	1	2	0	0	1	1
	[S S1 s S] \-> S (S1) s S	0	1	1	2	1	1	0	0	3	0	0	0	1
	[S S1 s S] \-> S (S1 s) S	0	1	1	1	1	0	0	1	2	0	0	0	1
	[S S1 s S] \-> (S S1) s S	0	1	0	2	0	0	1	0	2	0	0	1	1
	[S S s1 S] \-> S S (s1) S	0	1	1	1	2	1	0	0	3	0	0	0	0
